assignmentid	workerid	Answer.task	Answer.myanswersA	Answer.myanswersC
3E337GFOL9811IE7NHU2B76133ONG4	A347XXV5JH19PB	"n04389521::tank car,n03144156::crystal set,n03985069::portable,n03139089::crown,n03800563::museum,n04052658::ranch house,n04610503::yard,n02782093::balloon,n02770211::back porch,n02853016::block"	::0::0::0::0::0::0::0::0::0::0	::1::1::0::1::1::1::1::1::1::1
33LK57MYLT5Y8C1HL5ZDV8WD1SQSZA	A2SPF0XH4LNRK1	"n02770211::back porch,n04389521::tank car,n03139089::crown,n03800563::museum,n04052658::ranch house,n02782093::balloon,n03985069::portable,n04610503::yard,n03144156::crystal set,n02853016::block"	::0::0::0::0::0::1::0::0::1::0	::1::1::1::1::1::1::1::1::1::1
3YZ8UPK3VTM1FWIBIWA5ZBDGD7QUCU	A2OXXHGAM7B0Y	"n02770211::back porch,n03144156::crystal set,n04389521::tank car,n03800563::museum,n03139089::crown,n02853016::block,n03985069::portable,n02782093::balloon,n04610503::yard,n04052658::ranch house"	::0::1::0::0::0::0::1::0::0::0	::1::1::1::1::1::1::1::1::1::1
3GLB5JMZFXVSF6NUYNGZF2U7PZODGE	A2C57JVPIOH7F2	"n04610503::yard,n03985069::portable,n04389521::tank car,n02782093::balloon,n03144156::crystal set,n03800563::museum,n02853016::block,n02770211::back porch,n04052658::ranch house,n03139089::crown"	::0::1::0::0::1::0::0::0::0::0	::1::1::1::1::1::1::1::1::1::1
3NLZY2D53PP2Q750E0JZST6E4VNQLQ	A2SPF0XH4LNRK1	"n04556533::watch case,n03820728::network,n03820950::network,n03438863::glasses case,n04173172::sequence,n03733644::measure,n03053976::club car,n02709908::and circuit,n04105068::roof,n03543012::hot line"	::1::1::1::1::0::1::0::0::0::0	::1::1::1::1::1::1::1::1::1::1
3RGU30DZTA85A2J8JM05V59HQ5RMJ3	AWY5WM7BEBZD8	"n03733644::measure,n03053976::club car,n02709908::and circuit,n03543012::hot line,n04105068::roof,n03820728::network,n03438863::glasses case,n04556533::watch case,n03820950::network,n04173172::sequence"	::0::0::0::0::0::0::1::1::0::0	::0::1::0::0::1::0::1::1::0::0
3YDGXNSEOZU0MVYJME3IKLJ3O3H48B	AUYFQG42DD51J	"n03733644::measure,n03820728::network,n04173172::sequence,n03820950::network,n04105068::roof,n03053976::club car,n04556533::watch case,n03543012::hot line,n03438863::glasses case,n02709908::and circuit"	::1::0::0::0::1::0::1::0::1::0	::0::0::0::0::0::0::1::0::1::0
3CFVK00FWLL9GPMGZR51MOPN4UM6LK	A2MQ6VUSKCQ9FH	"n04173172::sequence,n03053976::club car,n03733644::measure,n03543012::hot line,n04556533::watch case,n03820728::network,n04105068::roof,n03820950::network,n02709908::and circuit,n03438863::glasses case"	::0::0::0::0::1::0::0::0::0::1	::0::1::0::1::1::1::1::0::1::1
392CY0QWG1RTB1AWV0F9XADHRZO4IL	A347XXV5JH19PB	"n03820950::network,n03053976::club car,n02709908::and circuit,n04556533::watch case,n04105068::roof,n04173172::sequence,n03543012::hot line,n03820728::network,n03438863::glasses case,n03733644::measure"	::0::0::1::1::0::0::0::0::1::0	::0::1::1::1::1::0::0::0::1::0
3A0EX8ZRN8OZM0AAEXBZRCDBRASYBG	A2C57JVPIOH7F2	"n04019696::pull,n03546340::housing,n04433377::tie,n02916350::bullet,n03202354::dinner table,n02777402::balance wheel,n03626115::knob,n02767147::baby shoe,n06596364::comic book,n03445777::golf ball"	::1::0::0::1::1::1::1::1::1::1	::0::0::0::1::1::1::1::1::1::1
3WYGZ5XF3WF3JH2VL4W38T80XJ6SKH	A1ID9ZY7QSY5CG	"n02916350::bullet,n03202354::dinner table,n03546340::housing,n03445777::golf ball,n02777402::balance wheel,n04433377::tie,n06596364::comic book,n04019696::pull,n02767147::baby shoe,n03626115::knob"	::1::1::0::1::1::1::1::1::1::1	::1::1::0::1::1::1::1::1::1::1
3X66WABAJWIUXELX5YAN2T8VYMR3GY	AWY5WM7BEBZD8	"n06596364::comic book,n04433377::tie,n03626115::knob,n02767147::baby shoe,n03546340::housing,n02916350::bullet,n03445777::golf ball,n02777402::balance wheel,n04019696::pull,n03202354::dinner table"	::1::0::1::1::0::0::1::1::0::1	::1::0::1::1::0::1::1::0::0::1
34S9DKFK73P1N9Z7HNG8I7D58ZENY2	A2UHEMRALXKUCF	"n06596364::comic book,n03626115::knob,n03546340::housing,n02767147::baby shoe,n03202354::dinner table,n04433377::tie,n02777402::balance wheel,n03445777::golf ball,n02916350::bullet,n04019696::pull"	::1::1::0::1::1::0::1::1::0::1	::1::1::0::1::1::1::1::1::1::1
3FUI0JHJPXYT3299AJ33JZJMUHU33Y	A2I159VITLD19Y	"n02767147::baby shoe,n03202354::dinner table,n02777402::balance wheel,n06596364::comic book,n03546340::housing,n02916350::bullet,n03445777::golf ball,n04019696::pull,n03626115::knob,n04433377::tie"	::1::1::1::1::0::0::1::0::1::1	::1::1::1::1::0::1::1::0::1::1
3RRCEFRB7MCJOTWQPQNSBN94W9SB47	A757KD6CSFAKF	"n02694426::alarm,n04149083::scoop,n03074380::column,n04175039::server,n04256520::sofa,n03361109::flat file,n03800933::musical instrument,n03870672::pack,n02908217::brush,n03412058::gallery"	::1::1::0::1::1::1::1::1::1::0	::1::1::1::1::1::1::1::1::1::1
3KYQYYSHYV7G7J4SM6T7KB39GL6DOS	A2C57JVPIOH7F2	"n02908217::brush,n03800933::musical instrument,n04149083::scoop,n03412058::gallery,n04175039::server,n03870672::pack,n03074380::column,n04256520::sofa,n02694426::alarm,n03361109::flat file"	::1::1::1::0::1::1::1::1::1::1	::1::1::1::1::1::1::1::1::0::1
3WSELTNVR32YM46OYDO4OK1QUQVTAX	A347XXV5JH19PB	"n02908217::brush,n04256520::sofa,n03074380::column,n03870672::pack,n04149083::scoop,n03800933::musical instrument,n02694426::alarm,n04175039::server,n03361109::flat file,n03412058::gallery"	::1::1::0::1::1::1::1::1::1::0	::1::1::1::1::1::1::1::1::1::1
3U8YCDAGXPGPTBGEP7XGU9EQ1XNQ0S	A2SPF0XH4LNRK1	"n03800933::musical instrument,n02908217::brush,n03412058::gallery,n03074380::column,n04175039::server,n03870672::pack,n04149083::scoop,n03361109::flat file,n04256520::sofa,n02694426::alarm"	::1::1::0::0::1::1::1::1::1::1	::1::1::1::1::1::1::1::1::1::1
3R08VXYT7CV8VJCKMFHV1D6ZXCBW73	A2I159VITLD19Y	"n03361109::flat file,n04175039::server,n02694426::alarm,n03870672::pack,n02908217::brush,n03412058::gallery,n04256520::sofa,n03074380::column,n04149083::scoop,n03800933::musical instrument"	::1::1::1::1::1::0::1::0::1::1	::1::1::1::1::1::1::1::1::1::1
3ZAZR5XV01II1VCLOJ9DG3SVFPVZCE	A2ZTO4JZOB0QFL	"n03850245::operating room,n03028785::church hat,n02693246::air terminal,n02737660::arm,n03786194::morning dress,n03097362::control center,n03728437::match,n03069752::college,n03106898::cord,n03335030::fighter"	::0::1::0::1::1::0::1::0::1::0	::1::1::1::1::1::1::1::1::1::1
3X65QVEQI0NYW6VH9II48OHX0GPCLA	A7NNR8ZAMCKLU	"n02737660::arm,n03106898::cord,n03069752::college,n03786194::morning dress,n03850245::operating room,n02693246::air terminal,n03335030::fighter,n03097362::control center,n03728437::match,n03028785::church hat"	::1::1::0::1::0::0::0::0::1::1	::1::1::1::0::1::1::1::1::1::1
3AUQQEL7U5THYJCVB6RQ0WDYIP00VU	A2C57JVPIOH7F2	"n03106898::cord,n03728437::match,n03069752::college,n03786194::morning dress,n03850245::operating room,n02737660::arm,n03097362::control center,n03028785::church hat,n02693246::air terminal,n03335030::fighter"	::1::1::0::1::0::1::0::1::0::0	::1::1::1::1::1::1::1::1::1::1
34QN5IT0TZRJN7GI3DGG8ITQ7R180Z	A347XXV5JH19PB	"n03850245::operating room,n03335030::fighter,n03069752::college,n02737660::arm,n03106898::cord,n03728437::match,n03097362::control center,n03028785::church hat,n03786194::morning dress,n02693246::air terminal"	::0::0::0::0::1::0::0::1::1::0	::1::0::1::1::1::1::1::1::1::1
3XC1O3LBOSMFINXSV4DUXYH1O2XLTA	A2UHEMRALXKUCF	"n03335030::fighter,n03028785::church hat,n03728437::match,n03850245::operating room,n02737660::arm,n03106898::cord,n03786194::morning dress,n02693246::air terminal,n03069752::college,n03097362::control center"	::0::1::1::0::1::1::1::0::0::0	::1::1::1::1::1::1::1::1::1::1
36PW28KO4ZWWXLOR8IZ9PY1PRG4AEK	AQORJW4W8U9YU	"n02793495::barn,n03475674::haircloth,n06255081::vehicle,n04284002::spoon,n03531546::hood,n04592741::wing,n03390983::frame,n04546081::walking shoe,n03683079::lock,n04550184::wardrobe"	::0::0::0::1::0::0::0::1::0::0	::1::1::1::1::1::1::0::0::1::1
3DHE4R9OCWB5CWPE1YWIJJ33S8S2GN	A2C57JVPIOH7F2	"n04550184::wardrobe,n04546081::walking shoe,n03683079::lock,n03475674::haircloth,n04592741::wing,n03531546::hood,n03390983::frame,n06255081::vehicle,n02793495::barn,n04284002::spoon"	::1::1::0::1::0::1::1::1::0::1	::0::1::1::1::1::1::1::1::1::1
3L70J4KAZGMR5FARCNOPJGJ4R46DAX	AWY5WM7BEBZD8	"n04592741::wing,n04546081::walking shoe,n03475674::haircloth,n03531546::hood,n03683079::lock,n04284002::spoon,n03390983::frame,n02793495::barn,n06255081::vehicle,n04550184::wardrobe"	::0::1::1::1::0::1::1::0::0::1	::1::1::1::1::1::1::1::1::1::1
3OVHNO1VE61S6NIZOF4O09AD0PDDZY	A2OXXHGAM7B0Y	"n03531546::hood,n04592741::wing,n06255081::vehicle,n03390983::frame,n03475674::haircloth,n02793495::barn,n04546081::walking shoe,n03683079::lock,n04284002::spoon,n04550184::wardrobe"	::1::0::0::1::1::0::1::0::1::1	::1::1::1::1::1::1::1::1::1::1
39LNWE0K4UWSSZ4BA66RAEBBQCAUIW	AUYFQG42DD51J	"n03531546::hood,n06255081::vehicle,n04550184::wardrobe,n04284002::spoon,n04592741::wing,n03390983::frame,n04546081::walking shoe,n02793495::barn,n03683079::lock,n03475674::haircloth"	::1::0::1::1::0::1::1::0::0::0	::1::1::1::0::1::0::1::1::1::0
3TAYZSBPLL8821Y5WYQZ8XM6GJMS2X	A347XXV5JH19PB	"n04153751::screw,n03660909::library,n03820318::net,n04576002::wheelchair,n03822361::newsroom,n03938244::pillow,n03416489::garage,n04175574::service club,n04363991::surgery,n02871824::boom"	::1::0::1::1::0::1::0::0::0::1	::0::0::1::1::0::1::1::0::0::0
3NVC2EB65QZUJ56XZ4WT9TFZ3IPY3Z	A2SPF0XH4LNRK1	"n03938244::pillow,n03416489::garage,n03660909::library,n03822361::newsroom,n04175574::service club,n04153751::screw,n03820318::net,n02871824::boom,n04576002::wheelchair,n04363991::surgery"	::1::0::0::0::0::1::1::1::1::0	::1::1::1::1::1::1::1::1::1::1
34S9DKFK73P1N9Z7HNG8I7D58ZGNY4	A2C57JVPIOH7F2	"n04576002::wheelchair,n03822361::newsroom,n03416489::garage,n04175574::service club,n03660909::library,n04363991::surgery,n03938244::pillow,n04153751::screw,n02871824::boom,n03820318::net"	::1::0::0::0::0::0::1::1::1::1	::1::1::1::1::1::1::1::1::1::1
3NVC2EB65QZUJ56XZ4WT9TFZ3IQY30	A2OXXHGAM7B0Y	"n03822361::newsroom,n04363991::surgery,n03660909::library,n03416489::garage,n02871824::boom,n03938244::pillow,n04153751::screw,n04576002::wheelchair,n03820318::net,n04175574::service club"	::0::0::0::0::1::1::1::1::1::0	::1::0::1::1::1::1::1::1::1::1
3LJ7UR74RHDLP2LNSGS12I9YDYIN4K	A2UHEMRALXKUCF	"n03938244::pillow,n04363991::surgery,n03822361::newsroom,n04175574::service club,n03820318::net,n02871824::boom,n04153751::screw,n03416489::garage,n04576002::wheelchair,n03660909::library"	::1::0::0::0::1::1::1::0::1::0	::1::0::1::1::1::1::1::1::1::1
33PPO7FECVF6BXTPOBG20E7N4C8ID3	A2C57JVPIOH7F2	"n04306847::statue,n03874823::page printer,n03012644::cheese press,n02764614::axis,n02883344::box,n03165616::day school,n03430959::gear,n04146504::school bell,n04197391::shirt,n03782006::monitor"	::1::1::1::1::1::0::1::1::1::1	::1::1::1::0::1::1::1::1::1::1
336KAV9KYQS5YNAEV4IOQJA7X4I2YL	AWY5WM7BEBZD8	"n04197391::shirt,n03782006::monitor,n03012644::cheese press,n03874823::page printer,n04306847::statue,n02764614::axis,n03430959::gear,n03165616::day school,n02883344::box,n04146504::school bell"	::1::1::1::1::1::0::1::0::1::1	::1::1::1::1::1::0::0::0::1::1
39N5ACM9HENMPT3CPQ1KNFP9Z5Q9PR	A347XXV5JH19PB	"n04197391::shirt,n03782006::monitor,n02764614::axis,n02883344::box,n03874823::page printer,n03430959::gear,n04146504::school bell,n03165616::day school,n04306847::statue,n03012644::cheese press"	::1::1::1::1::1::1::1::0::0::1	::1::1::1::1::1::1::1::1::1::1
3NL0RFNU0FNKHW0KV30LAQSUJ3CK4B	A2OXXHGAM7B0Y	"n03874823::page printer,n04197391::shirt,n04306847::statue,n03430959::gear,n03165616::day school,n02764614::axis,n03012644::cheese press,n04146504::school bell,n03782006::monitor,n02883344::box"	::1::1::0::1::0::1::1::1::1::1	::1::1::1::1::1::1::1::1::1::1
3A1COHJ8NJVUY7ME1LN1EAS7T85H8C	A2UHEMRALXKUCF	"n03012644::cheese press,n02883344::box,n02764614::axis,n03874823::page printer,n04306847::statue,n03165616::day school,n03782006::monitor,n04146504::school bell,n04197391::shirt,n03430959::gear"	::1::1::1::1::0::0::1::0::1::1	::1::1::1::1::1::1::1::1::1::1
30IQTZXKAK6928HQBLS8OHAJY0A0XZ	A347XXV5JH19PB	"n02801938::basket,n03899768::patio,n03539433::horseshoe,n04158807::sea boat,n02964075::card table,n04452848::tooth,n02884994::box camera,n04548280::wall clock,n02687682::air cushion,n02802426::basketball"	::1::0::1::0::1::0::1::1::0::1	::1::1::1::1::1::1::1::1::1::1
31IBVUNM9SZ8VNRLEOAB3302ORRFVF	A2SPF0XH4LNRK1	"n04548280::wall clock,n03899768::patio,n02884994::box camera,n02964075::card table,n03539433::horseshoe,n04452848::tooth,n04158807::sea boat,n02802426::basketball,n02687682::air cushion,n02801938::basket"	::1::0::1::1::1::0::0::1::1::1	::1::1::1::1::1::1::1::1::1::1
3J4Q2Z4UTY3I11HZIEQ114NU223WQ1	A2LKQQ3GNDQ017	"n02964075::card table,n03899768::patio,n02801938::basket,n04548280::wall clock,n02687682::air cushion,n03539433::horseshoe,n02884994::box camera,n04452848::tooth,n02802426::basketball,n04158807::sea boat"	::1::0::1::1::0::1::1::0::1::0	::1::0::1::1::1::1::1::1::0::1
3X4MXAO0BGOID2WZVTF16UXZYO5WR2	A2MQ6VUSKCQ9FH	"n02964075::card table,n02687682::air cushion,n02802426::basketball,n04158807::sea boat,n04548280::wall clock,n04452848::tooth,n02884994::box camera,n02801938::basket,n03899768::patio,n03539433::horseshoe"	::1::1::1::0::1::0::1::1::0::1	::1::1::1::1::1::1::1::1::1::1
3LQ8PUHQFLSNNDYRA7ZSRZMLW4AIHL	A2OXXHGAM7B0Y	"n02801938::basket,n02884994::box camera,n03539433::horseshoe,n03899768::patio,n04158807::sea boat,n02964075::card table,n04548280::wall clock,n02802426::basketball,n02687682::air cushion,n04452848::tooth"	::1::1::1::0::0::1::1::1::1::0	::1::1::1::1::1::1::1::1::1::1
3ITXP059PWJ88XWD3JWR7E8NIU4SJG	AQORJW4W8U9YU	"n02873520::boot,n04175147::server,n02930766::cab,n04193377::shift key,n04115256::row house,n04527648::veranda,n03699975::machine,n03574816::instrument,n04283378::spoke,n04447156::toilet kit"	::1::0::0::0::0::0::0::1::1::1	::1::1::1::1::1::1::1::1::1::1
374TNBHA8BVMQ6CZXF8PM18ADAYYQX	A347XXV5JH19PB	"n02873520::boot,n04193377::shift key,n04447156::toilet kit,n03574816::instrument,n04175147::server,n04283378::spoke,n04527648::veranda,n02930766::cab,n04115256::row house,n03699975::machine"	::1::0::1::1::1::0::0::0::0::1	::0::1::1::1::1::0::1::1::1::1
36W0OB37HWE9I3N1ABNERUPBSH7ZHU	A2OXXHGAM7B0Y	"n04527648::veranda,n04175147::server,n04447156::toilet kit,n02930766::cab,n03699975::machine,n04283378::spoke,n04115256::row house,n04193377::shift key,n03574816::instrument,n02873520::boot"	::0::1::1::0::1::1::0::0::1::1	::1::1::1::1::1::1::1::1::1::1
3HVVDCPGTESZIM4REJ2KR6JXXH2TYB	A2MQ6VUSKCQ9FH	"n04115256::row house,n03699975::machine,n04283378::spoke,n02873520::boot,n04193377::shift key,n04527648::veranda,n03574816::instrument,n02930766::cab,n04175147::server,n04447156::toilet kit"	::0::0::1::1::1::0::0::0::0::1	::1::1::1::1::1::1::1::1::0::1
3CFJTT4SXTQQUOSFXYDG0MXRI1EI7J	A2SPF0XH4LNRK1	"n04175147::server,n03574816::instrument,n03699975::machine,n04447156::toilet kit,n04193377::shift key,n04283378::spoke,n04527648::veranda,n02873520::boot,n02930766::cab,n04115256::row house"	::1::1::1::1::1::1::0::1::0::0	::1::1::1::1::1::1::1::1::1::1
392CY0QWG1RTB1AWV0F9XADHRZBI4M	A2SPF0XH4LNRK1	"n04535524::villa,n02827606::belt,n03381126::footwear,n03007130::chapel,n03097673::control key,n04258438::solar house,n03072056::colors,n04510706::universal joint,n03249569::drum,n04446276::toilet"	::0::1::1::0::1::0::0::1::1::1	::1::1::0::1::1::1::0::1::1::1
3PWWM24LHSYQJHJWI0KUR6M54PG82E	A2C57JVPIOH7F2	"n03249569::drum,n03072056::colors,n03097673::control key,n04535524::villa,n03381126::footwear,n04446276::toilet,n02827606::belt,n04510706::universal joint,n03007130::chapel,n04258438::solar house"	::1::0::1::0::1::1::1::1::0::0	::1::0::1::1::0::1::1::1::1::1
3TAYZSBPLL8821Y5WYQZ8XM6GJQS21	A2OXXHGAM7B0Y	"n03072056::colors,n04258438::solar house,n02827606::belt,n03007130::chapel,n03381126::footwear,n03249569::drum,n03097673::control key,n04510706::universal joint,n04535524::villa,n04446276::toilet"	::0::0::1::0::1::1::0::1::0::1	::0::1::1::1::0::1::1::1::1::1
3QRYMNZ7FYH56N0D7HT9AQLQTXXTNK	A347XXV5JH19PB	"n03249569::drum,n03381126::footwear,n03097673::control key,n03072056::colors,n04258438::solar house,n04510706::universal joint,n03007130::chapel,n04446276::toilet,n04535524::villa,n02827606::belt"	::1::1::0::0::0::1::0::0::0::1	::1::0::1::0::1::1::1::1::1::1
3Z7EFSHGN9ETW0C6N1LSJICK7P8CX5	A2MQ6VUSKCQ9FH	"n04446276::toilet,n04510706::universal joint,n03097673::control key,n03072056::colors,n02827606::belt,n03381126::footwear,n04258438::solar house,n03249569::drum,n03007130::chapel,n04535524::villa"	::1::1::1::0::1::1::0::1::0::0	::1::1::1::0::1::0::1::1::1::1
37Q970SNZE81DGG9DUQL3EC1OD21SJ	A22L4CUSXSK47B	"n03699975::machine,n03471779::guy,n03580615::internet,n03078506::community center,n06273294::collect call,n03801533::music hall,n03932670::piece of cloth,n03721590::marina,n04299215::stall,n03804744::nail"	::0::0::0::0::1::0::1::0::0::1	::1::0::0::1::1::1::1::1::0::1
3AWETUDC92S9EYYLGT5ZR6QQSUFIZZ	A757KD6CSFAKF	"n03078506::community center,n03471779::guy,n03804744::nail,n03721590::marina,n03580615::internet,n03801533::music hall,n04299215::stall,n06273294::collect call,n03932670::piece of cloth,n03699975::machine"	::0::0::1::0::0::0::0::0::1::1	::1::1::1::1::0::1::1::1::1::1
3NL0RFNU0FNKHW0KV30LAQSUJ3AK49	AWY5WM7BEBZD8	"n03801533::music hall,n03932670::piece of cloth,n03471779::guy,n03078506::community center,n06273294::collect call,n04299215::stall,n03721590::marina,n03580615::internet,n03699975::machine,n03804744::nail"	::0::1::0::0::0::0::0::0::0::1	::1::1::0::1::0::1::1::0::0::1
3S3AMIZX3U5FYU7PW1KGPB9SR7WCD3	A2OXXHGAM7B0Y	"n04299215::stall,n03932670::piece of cloth,n03078506::community center,n03699975::machine,n03721590::marina,n03801533::music hall,n06273294::collect call,n03580615::internet,n03471779::guy,n03804744::nail"	::0::1::0::0::0::0::0::0::1::1	::1::1::1::1::1::1::1::1::1::1
37Q970SNZE81DGG9DUQL3EC1ODG1SX	A2C57JVPIOH7F2	"n03721590::marina,n03932670::piece of cloth,n03699975::machine,n04299215::stall,n03078506::community center,n03580615::internet,n03801533::music hall,n03471779::guy,n06273294::collect call,n03804744::nail"	::0::0::1::0::0::0::0::0::0::1	::1::1::1::1::1::1::1::1::1::1
31JLPPHS2UUIPR2VTHNV72HXP8HO35	AWY5WM7BEBZD8	"n02742194::array,n03339296::film,n03917814::permanent press,n03461385::grocery store,n02870676::book bag,n04261638::sound camera,n04467307::trailer,n03982767::poor box,n04105068::roof,n04220805::silver plate"	::1::1::0::0::1::1::0::1::0::1	::0::0::0::0::1::1::1::1::1::1
30JNVC0OR9K04BMANF4101D7NEMQHR	A2C57JVPIOH7F2	"n04261638::sound camera,n02870676::book bag,n04105068::roof,n02742194::array,n03917814::permanent press,n03982767::poor box,n04467307::trailer,n03461385::grocery store,n03339296::film,n04220805::silver plate"	::1::1::0::0::1::1::0::0::1::1	::1::1::1::1::1::1::1::1::0::1
3S4AW7T80BIV12I2G3CMPQ5983GL4E	A2OXXHGAM7B0Y	"n03461385::grocery store,n04105068::roof,n04467307::trailer,n02742194::array,n03982767::poor box,n04261638::sound camera,n03339296::film,n04220805::silver plate,n03917814::permanent press,n02870676::book bag"	::0::0::0::0::0::1::1::1::0::1	::1::1::1::1::1::1::0::1::1::1
3HRMW88U16QY8WIMXEQZD0ULRWRM02	A347XXV5JH19PB	"n03461385::grocery store,n04105068::roof,n02742194::array,n02870676::book bag,n04220805::silver plate,n04467307::trailer,n03917814::permanent press,n04261638::sound camera,n03339296::film,n03982767::poor box"	::0::0::0::1::1::0::0::1::1::1	::1::1::0::1::1::1::0::1::1::1
3LKC68YZ3A3FGP4J31YXCZSUN1MOWM	A2SPF0XH4LNRK1	"n02742194::array,n03339296::film,n04220805::silver plate,n03982767::poor box,n02870676::book bag,n03461385::grocery store,n04467307::trailer,n03917814::permanent press,n04105068::roof,n04261638::sound camera"	::1::1::1::1::1::0::0::0::0::1	::1::1::1::1::1::1::1::1::1::1
3N4BPTXIO8SJYUUZA9R3NUQOIGPUKX	A7NNR8ZAMCKLU	"n06591815::album,n02974003::car wheel,n03290653::entertainment center,n03531281::hood,n04236702::sleeve,n04275904::spike,n03099274::convenience store,n02766320::baby bed,n03431745::gearing,n04453666::top"	::1::1::0::1::1::1::0::1::1::1	::1::1::1::1::1::1::1::1::0::1
352YTHGROVDTF6ZCPIXOXYC2RM0H4W	AWY5WM7BEBZD8	"n03531281::hood,n02766320::baby bed,n04236702::sleeve,n04275904::spike,n03290653::entertainment center,n03099274::convenience store,n06591815::album,n03431745::gearing,n02974003::car wheel,n04453666::top"	::0::1::1::1::1::0::1::1::1::1	::1::1::1::1::1::1::1::0::1::1
36H9ULYP62UZ4SRRXZWS0FP8T4KJFY	A2UHEMRALXKUCF	"n02974003::car wheel,n02766320::baby bed,n03099274::convenience store,n03531281::hood,n04453666::top,n03431745::gearing,n04275904::spike,n04236702::sleeve,n06591815::album,n03290653::entertainment center"	::1::1::0::1::1::1::1::1::1::1	::1::1::1::1::1::0::1::1::1::1
3T3IWE1XG6NQ9KD5N9LQEKGVY8JTQ6	A347XXV5JH19PB	"n04236702::sleeve,n04453666::top,n03531281::hood,n03431745::gearing,n03099274::convenience store,n02766320::baby bed,n03290653::entertainment center,n02974003::car wheel,n06591815::album,n04275904::spike"	::1::1::1::1::0::1::1::1::1::1	::1::1::1::0::1::1::1::1::1::1
32AT8R96GL9HMD77FI05EGHYZACSUM	A2GZN7DE7UKJRU	"n03099274::convenience store,n02974003::car wheel,n03290653::entertainment center,n03531281::hood,n04236702::sleeve,n03431745::gearing,n02766320::baby bed,n04453666::top,n04275904::spike,n06591815::album"	::0::1::0::1::1::0::0::1::1::1	::1::1::1::1::1::0::1::1::1::1
3L2IS5HSFAIK60F27MJJFM7SCB3NU4	A347XXV5JH19PB	"n03145522::cue,n02912065::buffet,n03518631::high gear,n02934168::cable,n06272803::call,n04326547::stone wall,n03166809::death house,n04078955::reset,n02828884::bench,n02955767::cape"	::1::0::0::1::0::0::0::0::1::1	::1::1::1::1::0::1::1::0::1::1
3MYYFCXHJ37FFA415CF6CY01CMW4GT	A2SPF0XH4LNRK1	"n02912065::buffet,n02828884::bench,n03518631::high gear,n04078955::reset,n04326547::stone wall,n06272803::call,n03145522::cue,n02934168::cable,n03166809::death house,n02955767::cape"	::0::1::1::0::0::0::1::1::0::1	::1::1::0::1::1::1::1::1::1::1
3STRJBFXOWR4YHFAA41TIY4MZ2UKT8	A2I159VITLD19Y	"n04078955::reset,n02912065::buffet,n03145522::cue,n02955767::cape,n02828884::bench,n03166809::death house,n02934168::cable,n04326547::stone wall,n06272803::call,n03518631::high gear"	::0::1::1::1::1::0::1::0::0::0	::0::1::1::1::1::1::1::1::1::1
37C0GNLMHF3QIDYOMA7D3BHIVLMD6D	A2C57JVPIOH7F2	"n04078955::reset,n03518631::high gear,n03145522::cue,n04326547::stone wall,n02828884::bench,n02934168::cable,n02912065::buffet,n06272803::call,n02955767::cape,n03166809::death house"	::1::1::1::0::1::0::1::0::1::0	::1::1::1::1::1::1::1::1::1::1
3DBQWDE4Y6Y3LLPN6LBB7AFCDU0N5C	A2ZTO4JZOB0QFL	"n04402746::telephone system,n04573513::wet bar,n03270165::electrical system,n04605726::wrapping,n02884450::box,n03535780::horizontal bar,n02897820::brick,n14820180::concrete,n04042795::radio link,n03091374::connection"	::1::0::1::1::1::1::1::1::1::1	::1::1::1::0::1::1::1::0::1::0
3FQ5JJ512LO634AQD8FH9ZYUAK2KN1	A3HTLXAPOBCVVO	"n03535780::horizontal bar,n02884450::box,n04605726::wrapping,n04402746::telephone system,n14820180::concrete,n02897820::brick,n04573513::wet bar,n03091374::connection,n03270165::electrical system,n04042795::radio link"	::0::1::1::1::0::0::1::1::0::1	::1::1::0::0::0::1::1::1::0::1
3UWN2HHPUY54RNNYIHOJ0LP4REFSNQ	A2OXXHGAM7B0Y	"n03270165::electrical system,n02897820::brick,n04573513::wet bar,n04605726::wrapping,n02884450::box,n14820180::concrete,n04402746::telephone system,n03091374::connection,n03535780::horizontal bar,n04042795::radio link"	::0::1::0::1::1::1::1::1::1::1	::1::1::1::0::1::0::1::1::1::1
3I0BTBYZAXLY2D70GHEA7VHS063Y02	A347XXV5JH19PB	"n04402746::telephone system,n04042795::radio link,n04573513::wet bar,n02897820::brick,n04605726::wrapping,n03091374::connection,n14820180::concrete,n03270165::electrical system,n03535780::horizontal bar,n02884450::box"	::1::0::0::0::1::1::0::0::0::1	::0::0::1::1::0::0::0::0::1::1
34V1S5K3GS1EFNL7AU2BHFYS40669O	A2SPF0XH4LNRK1	"n04402746::telephone system,n03270165::electrical system,n02884450::box,n03535780::horizontal bar,n04573513::wet bar,n04605726::wrapping,n04042795::radio link,n03091374::connection,n14820180::concrete,n02897820::brick"	::1::1::1::1::1::1::1::1::1::1	::0::0::1::1::1::0::1::1::1::1
3VFJCI1K4ZZMGG6ZGOBJKRBB40FRGY	A2SPF0XH4LNRK1	"n04322026::stock,n02980441::castle,n02971579::car train,n03427202::gat,n03365991::floor,n02773037::bag,n03110202::corner post,n03109881::corner,n04555897::watch,n04453666::top"	::1::0::0::0::0::1::1::0::1::1	::1::1::1::1::1::1::1::1::1::1
